Month,All,OnewayFollow,TwowayFollow,Others
2023-08-01,16357,760,73,15524
2023-07-01,12023,388,38,11597
2023-06-01,11872,493,68,11311
2023-05-01,13977,355,70,13552
2023-04-01,11642,454,51,11137
2023-03-01,13303,413,43,12847
2023-02-01,14210,394,31,13785
2023-01-01,15729,434,65,15230
2022-12-01,19898,422,120,19356
2022-11-01,16508,431,127,15950
2022-10-01,12920,302,91,12527
2022-09-01,24904,307,99,24498
2022-08-01,15162,206,150,14806
2022-07-01,9541,195,124,9222
2022-06-01,8001,151,96,7754
2022-05-01,8349,93,152,8104
2022-04-01,6606,120,43,6443
2022-03-01,7439,157,55,7227
2022-02-01,11177,239,24,10914
2022-01-01,8550,311,53,8186
2021-12-01,9733,173,33,9527
2021-11-01,9400,221,61,9118
2021-10-01,9919,493,31,9395
2021-09-01,9740,226,94,9420
2021-08-01,9735,229,116,9390
2021-07-01,9283,135,236,8912
